structure,view,series,paths,placement,weight_bps,date,amount_cents
inst_60_2000000,bank_only,expected,,central,,2024-10-21,102700000
inst_60_2000000,event_adjusted,disbursement,,,,2024-08-20,-200000000
inst_60_2000000,event_adjusted,contractual,,,,2024-09-20,102700000
inst_60_2000000,event_adjusted,contractual,,,,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,265,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,265,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,265,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,265,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,4902,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,4902,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,4902,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,4902,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,1255,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,1255,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,1255,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,1255,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,93,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,93,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,93,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,93,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2606,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2606,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2606,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2606,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,3,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,3,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,3,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,3,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,54,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,54,2024-10-21,102700000
