date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2024-11-12,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-13,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-14,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-15,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-16,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-17,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-18,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-19,bank_only,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-20,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-21,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-22,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-23,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-24,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-25,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-26,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-27,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-28,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-29,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-11-30,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-01,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-02,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-03,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-04,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-05,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-06,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-07,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-08,bank_only,207400000,207400000,207400000,207400000,207400000,0
