date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2025-02-06,event_adjusted,2296742562,1624861857,2206384396,2859129288,84419902,2288356
2025-02-07,event_adjusted,2300190608,1630894420,2208393691,2865351424,85101012,2306157
2025-02-08,event_adjusted,2295363384,1629813856,2196530707,2865298807,86338079,2336926
2025-02-09,event_adjusted,2293510805,1628141252,2192928433,2865286040,86815101,2345572
2025-02-10,event_adjusted,2299904283,1636242763,2195377129,2878562395,87502496,2365406
2025-02-11,event_adjusted,2307967362,1647858543,2198009520,2890955853,88038926,2378884
2025-02-12,event_adjusted,2299942691,1642364229,2189437767,2884188762,88446647,2390835
2025-02-13,event_adjusted,2271779967,1616502417,2154608677,2869174935,89445872,2418807
2025-02-14,event_adjusted,2243339001,1594625461,2124695103,2843548199,89819515,2431267
2025-02-15,event_adjusted,2234633528,1593750854,2110428101,2843027869,91278426,2473734
