date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2024-11-03,bank_only,2642329106,2558262844,2645873580,2696614200,0,0
2024-11-04,bank_only,2659126095,2575327541,2664482476,2713445090,0,0
2024-11-05,bank_only,2660813046,2575306645,2668281626,2719503994,0,0
2024-11-06,bank_only,2669408537,2583381232,2675004862,2723988214,0,0
2024-11-07,bank_only,2674812327,2592201629,2681370328,2730025203,0,0
2024-11-08,bank_only,2685131862,2593871615,2693164960,2744995894,0,0
2024-11-09,bank_only,2685131862,2593871615,2693164960,2744995894,0,0
2024-11-10,bank_only,2685131862,2593871615,2693164960,2744995894,0,0
2024-11-11,bank_only,2685131862,2593871615,2693164960,2744995894,0,0
2024-11-12,bank_only,2696930572,2603201698,2704848082,2760639473,0,0
2024-11-13,bank_only,2692501429,2604523101,2697968449,2758495600,0,0
2024-11-14,bank_only,2669311872,2586347851,2672567128,2750435344,0,0
2024-11-15,bank_only,2645938919,2550656495,2645748499,2721617300,0,0
2024-11-16,bank_only,2645938919,2550656495,2645748499,2721617300,0,0
2024-11-17,bank_only,2645938919,2550656495,2645748499,2721617300,0,0
2024-11-18,bank_only,2637854967,2537660530,2639688040,2732804937,0,0
2024-11-19,bank_only,2619108752,2499016353,2606823146,2751692417,0,0
2024-11-20,bank_only,2526335900,2418491933,2522608835,2642152855,0,0
2024-11-21,bank_only,2503844633,2414571892,2512703141,2563449721,0,0
2024-11-22,bank_only,2517470006,2426214105,2522789884,2581298129,0,0
2024-11-23,bank_only,2517470006,2426214105,2522789884,2581298129,0,0
2024-11-24,bank_only,2517470006,2426214105,2522789884,2581298129,0,0
2024-11-25,bank_only,2523695419,2434972461,2530569012,2589153682,0,0
2024-11-26,bank_only,2523445873,2431977873,2527900854,2590511335,0,0
2024-11-27,bank_only,2531877820,2438282229,2539020184,2603970630,0,0
2024-11-28,bank_only,2531877820,2438282229,2539020184,2603970630,0,0
2024-11-29,bank_only,2554192368,2459714884,2563149138,2614371502,0,0
2024-11-30,bank_only,2554192368,2459714884,2563149138,2614371502,0,0
2024-12-01,bank_only,2554192368,2459714884,2563149138,2614371502,0,0
2024-12-02,bank_only,2564748912,2474576300,2570499269,2629154157,0,0
2024-12-03,bank_only,2581577885,2492243713,2588580821,2645714303,0,0
2024-12-04,bank_only,2583218813,2500652865,2587193617,2645584022,0,0
2024-12-05,bank_only,2591259587,2511560180,2597957579,2654640947,0,0
2024-12-06,bank_only,2596650913,2508436335,2602529747,2656843227,0,0
2024-12-07,bank_only,2596650913,2508436335,2602529747,2656843227,0,0
2024-12-08,bank_only,2596650913,2508436335,2602529747,2656843227,0,0
2024-12-09,bank_only,2608146783,2525408335,2611426287,2675952142,0,0
2024-12-10,bank_only,2619047311,2534826338,2621960301,2686774848,0,0
2024-12-11,bank_only,2615085001,2527983889,2622146935,2681213642,0,0
2024-12-12,bank_only,2592139246,2502997897,2597496447,2672648843,0,0
2024-12-13,bank_only,2567728360,2483779734,2567626800,2647840370,0,0
2024-12-14,bank_only,2567728360,2483779734,2567626800,2647840370,0,0
2024-12-15,bank_only,2567728360,2483779734,2567626800,2647840370,0,0
2024-12-16,bank_only,2561856062,2463110240,2564518438,2655344858,0,0
2024-12-17,bank_only,2541390188,2420046129,2535033885,2670041419,0,0
2024-12-18,bank_only,2518274754,2421074931,2516416520,2629635191,0,0
2024-12-19,bank_only,2495231803,2413744007,2499963270,2558718429,0,0
2024-12-20,bank_only,2509018609,2427788029,2512335170,2576240405,0,0
2024-12-21,bank_only,2509018609,2427788029,2512335170,2576240405,0,0
2024-12-22,bank_only,2509018609,2427788029,2512335170,2576240405,0,0
2024-12-23,bank_only,2515929436,2430380131,2521207230,2589644560,0,0
2024-12-24,bank_only,2514551927,2437477052,2517093129,2582411135,0,0
2024-12-25,bank_only,2514551927,2437477052,2517093129,2582411135,0,0
2024-12-26,bank_only,2523335726,2442487930,2527097466,2593330109,0,0
2024-12-27,bank_only,2526917184,2445819134,2532786422,2589007913,0,0
2024-12-28,bank_only,2526917184,2445819134,2532786422,2589007913,0,0
2024-12-29,bank_only,2526917184,2445819134,2532786422,2589007913,0,0
2024-12-30,bank_only,2533137243,2449354527,2538987719,2599694522,0,0
2024-12-31,bank_only,2545123772,2461466923,2548695286,2602210063,0,0
2025-01-01,bank_only,2545123772,2461466923,2548695286,2602210063,0,0
2025-01-02,bank_only,2555285127,2476150201,2562850431,2616254082,0,0
2025-01-03,bank_only,2572146607,2492802961,2579029001,2633364135,0,0
