structure,view,series,paths,placement,date,amount_cents
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p8,stress,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p8,stress,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p8,central,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p8,central,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,central,2024-09-20,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,central,2024-10-21,102700000
inst_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p5,stress,2024-09-20,102700000
